count,left,right
30,1.0,4.38
22,4.38,7.76
25,7.76,11.14
20,11.14,14.52
19,14.52,17.9
26,17.9,21.28
15,21.28,24.66
20,24.66,28.04
14,28.04,31.419999999999998
23,31.419999999999998,34.8
27,34.8,38.18
22,38.18,41.56
10,41.56,44.94
27,44.94,48.32
19,48.32,51.699999999999996
25,51.699999999999996,55.08
16,55.08,58.46
27,58.46,61.839999999999996
26,61.839999999999996,65.22
27,65.22,68.6
28,68.6,71.98
33,71.98,75.36
12,75.36,78.74
31,78.74,82.12
22,82.12,85.5
24,85.5,88.88
27,88.88,92.25999999999999
25,92.25999999999999,95.64
26,95.64,99.02
21,99.02,102.39999999999999
22,102.39999999999999,105.78
24,105.78,109.16
21,109.16,112.53999999999999
19,112.53999999999999,115.92
25,115.92,119.3
17,119.3,122.67999999999999
22,122.67999999999999,126.06
24,126.06,129.44
15,129.44,132.82
27,132.82,136.2
21,136.2,139.57999999999998
18,139.57999999999998,142.96
22,142.96,146.34
10,146.34,149.72
28,149.72,153.1
18,153.1,156.48
22,156.48,159.85999999999999
21,159.85999999999999,163.24
25,163.24,166.62
16,166.62,170.0
27,170.0,173.38
13,173.38,176.76
23,176.76,180.14
11,180.14,183.51999999999998
25,183.51999999999998,186.9
28,186.9,190.28
19,190.28,193.66
19,193.66,197.04
21,197.04,200.42
15,200.42,203.79999999999998
24,203.79999999999998,207.18
19,207.18,210.56
29,210.56,213.94
28,213.94,217.32
17,217.32,220.7
31,220.7,224.07999999999998
26,224.07999999999998,227.45999999999998
36,227.45999999999998,230.84
21,230.84,234.22
22,234.22,237.6
18,237.6,240.98
32,240.98,244.35999999999999
16,244.35999999999999,247.73999999999998
33,247.73999999999998,251.12
9,251.12,254.5
16,254.5,257.88
23,257.88,261.26
16,261.26,264.64
25,264.64,268.02
19,268.02,271.4
10,271.4,274.78
30,274.78,278.15999999999997
10,278.15999999999997,281.53999999999996
18,281.53999999999996,284.92
21,284.92,288.3
14,288.3,291.68
12,291.68,295.06
26,295.06,298.44
14,298.44,301.82
27,301.82,305.2
15,305.2,308.58
11,308.58,311.96
14,311.96,315.34
20,315.34,318.71999999999997
25,318.71999999999997,322.09999999999997
16,322.09999999999997,325.48
16,325.48,328.86
24,328.86,332.24
15,332.24,335.62
13,335.62,339.0
